year,model,trim,price_usd,miles,exterior,interior,vin,dealer_id,link,age,residual
2017,Honda CR-V,EX-L AWD,19964,96128,Green,Black,5J6RW2H84HL004276,13313,https://www.truecar.com/used-cars-for-sale/listing/5J6RW2H84HL004276/,4,-425
2018,Honda CR-V,EX-L AWD,25000,34080,Orange,Beige,2HKRW2H86JH649334,8049,https://www.truecar.com/used-cars-for-sale/listing/2HKRW2H86JH649334/,3,-796
2018,Honda CR-V,EX-L AWD,24700,38937,Orange,Beige,2HKRW2H81JH622431,8049,https://www.truecar.com/used-cars-for-sale/listing/2HKRW2H81JH622431/,3,-767
2017,Honda CR-V,LX AWD,20791,37495,White,Beige,2HKRW6H36HH200600,22428,https://www.truecar.com/used-cars-for-sale/listing/2HKRW6H36HH200600/,4,183
2020,Honda CR-V,Touring AWD,31950,2756,Blue,Black,7FARW2H9XLE003082,1543,https://www.truecar.com/used-cars-for-sale/listing/7FARW2H9XLE003082/,1,548
2020,Honda CR-V,Hybrid Touring AWD,34950,250,Gray,Black,7FART6H99LE012064,1543,https://www.truecar.com/used-cars-for-sale/listing/7FART6H99LE012064/,1,-0
2020,Honda CR-V,Hybrid EX AWD,29950,250,Silver,Black,7FART6H56LE016781,1543,https://www.truecar.com/used-cars-for-sale/listing/7FART6H56LE016781/,1,-0
2018,Honda CR-V,Touring AWD,26123,31907,Blue,Unknown,7FARW2H99JE002308,220067,https://www.truecar.com/used-cars-for-sale/listing/7FARW2H99JE002308/,3,-902
2019,Honda CR-V,EX-L AWD,25000,66784,White,Black,JHLRW2H88KX020554,5797,https://www.truecar.com/used-cars-for-sale/listing/JHLRW2H88KX020554/,2,221
2018,Honda CR-V,LX AWD,22488,54335,Red,Gray,5J6RW6H31JL001160,18946,https://www.truecar.com/used-cars-for-sale/listing/5J6RW6H31JL001160/,3,1821
2019,Honda CR-V,EX-L AWD,29991,12944,Orange,Beige,5J6RW2H84KL004494,13644,https://www.truecar.com/used-cars-for-sale/listing/5J6RW2H84KL004494/,2,1561
2019,Honda CR-V,LX AWD,25998,25388,White,Black,5J6RW6H36KL001558,21161,https://www.truecar.com/used-cars-for-sale/listing/5J6RW6H36KL001558/,2,2168
