year,model,trim,price_usd,miles,exterior,interior,vin,dealer_id,link,age,residual
2017,Toyota RAV4,Hybrid XLE AWD,26995,42682,Gray,Black,JTMRJREV7HD153587,1709,https://www.truecar.com/used-cars-for-sale/listing/JTMRJREV7HD153587/,4,-556
2018,Toyota RAV4,Hybrid LE AWD,26900,44433,Gray,Black,JTMRJREV9JD233754,6516,https://www.truecar.com/used-cars-for-sale/listing/JTMRJREV9JD233754/,3,-726
2018,Toyota RAV4,LE AWD,25350,42315,White,Unknown,2T3BFREV8JW733071,5916,https://www.truecar.com/used-cars-for-sale/listing/2T3BFREV8JW733071/,3,-331
2017,Toyota RAV4,Limited AWD,26990,41042,Black,Unknown,2T3DFREV7HW587233,30678,https://www.truecar.com/used-cars-for-sale/listing/2T3DFREV7HW587233/,4,707
2019,Toyota RAV4,XLE AWD,34900,6996,Silver,Unknown,2T3P1RFV2KW069161,18941,https://www.truecar.com/used-cars-for-sale/listing/2T3P1RFV2KW069161/,2,2607
2020,Toyota RAV4,Hybrid LE AWD,33494,17790,Silver,Black,JTMM6RFV8LD002101,13620,https://www.truecar.com/used-cars-for-sale/listing/JTMM6RFV8LD002101/,1,449
2018,Toyota RAV4,Hybrid SE AWD,33600,30192,Silver,Black,JTMJJREV2JD182899,6808,https://www.truecar.com/used-cars-for-sale/listing/JTMJJREV2JD182899/,3,0
2021,Toyota RAV4,Hybrid XLE AWD,35988,8260,White,Unknown,4T3R6RFV3MU012674,18921,https://www.truecar.com/used-cars-for-sale/listing/4T3R6RFV3MU012674/,0,-1198
2018,Toyota RAV4,Hybrid Limited AWD,26300,96525,White,Brown,JTMDJREV4JD203104,6516,https://www.truecar.com/used-cars-for-sale/listing/JTMDJREV4JD203104/,3,-3125
2015,Toyota RAV4,LE AWD,15370,144580,White,Black,2T3BFREV4FW331720,12236,https://www.truecar.com/used-cars-for-sale/listing/2T3BFREV4FW331720/,6,1791
2019,Toyota RAV4,Adventure AWD,39999,8419,Black,Black,2T3J1RFV6KW016386,17766,https://www.truecar.com/used-cars-for-sale/listing/2T3J1RFV6KW016386/,2,3550
2021,Toyota RAV4,XLE AWD,35999,10922,Blue,Black,JTMP1RFV7MD531777,176269,https://www.truecar.com/used-cars-for-sale/listing/JTMP1RFV7MD531777/,0,236
2018,Toyota RAV4,SE AWD,30988,20448,Gray,Unknown,JTMJFREV5JJ227563,18921,https://www.truecar.com/used-cars-for-sale/listing/JTMJFREV5JJ227563/,3,-262
2019,Toyota RAV4,XLE AWD,28912,18482,Silver,Gray,JTMP1RFV6KD040453,152684,https://www.truecar.com/used-cars-for-sale/listing/JTMP1RFV6KD040453/,2,-2649
2019,Toyota RAV4,XLE Premium AWD,38888,32851,White,Black,JTMA1RFV9KD009865,8819,https://www.truecar.com/used-cars-for-sale/listing/JTMA1RFV9KD009865/,2,4190
2018,Toyota RAV4,SE AWD,28591,63218,White,Black,JTMJFREV9JJ722655,13230,https://www.truecar.com/used-cars-for-sale/listing/JTMJFREV9JJ722655/,3,68
2017,Toyota RAV4,LE AWD,27988,57189,Silver,Black,2T3BFREV6HW622576,8819,https://www.truecar.com/used-cars-for-sale/listing/2T3BFREV6HW622576/,4,5116
2017,Toyota RAV4,LE AWD,25988,57020,Black,Black,2T3BFREV3HW604178,8819,https://www.truecar.com/used-cars-for-sale/listing/2T3BFREV3HW604178/,4,3105
2019,Toyota RAV4,Hybrid Limited AWD,39831,15610,Gray,Black,JTMDWRFV8KD505402,5157,https://www.truecar.com/used-cars-for-sale/listing/JTMDWRFV8KD505402/,2,3385
2018,Toyota RAV4,XLE AWD,29950,22445,Gray,Black,JTMRFREV3JJ743035,14728,https://www.truecar.com/used-cars-for-sale/listing/JTMRFREV3JJ743035/,3,502
2018,Toyota RAV4,XLE AWD,29995,26041,White,Unknown,JTMRFREV1JJ225392,13590,https://www.truecar.com/used-cars-for-sale/listing/JTMRFREV1JJ225392/,3,776
2019,Toyota RAV4,XLE AWD,34998,32905,Red,Unknown,JTMP1RFV0KD506586,8903,https://www.truecar.com/used-cars-for-sale/listing/JTMP1RFV0KD506586/,2,4357
2018,Toyota RAV4,LE AWD,25995,18301,Gray,Black,JTMBFREV8JJ206629,7479,https://www.truecar.com/used-cars-for-sale/listing/JTMBFREV8JJ206629/,3,-1217
2018,Toyota RAV4,LE AWD,26287,15774,Gray,Unknown,2T3BFREV0JW856511,7873,https://www.truecar.com/used-cars-for-sale/listing/2T3BFREV0JW856511/,3,-1086
2014,Toyota RAV4,XLE AWD,15691,124517,Gray,Gray,JTMRFREV1EJ000508,5157,https://www.truecar.com/used-cars-for-sale/listing/JTMRFREV1EJ000508/,7,193
2019,Toyota RAV4,Hybrid Limited AWD,39816,12674,Silver,Black,JTMDWRFV6KD509061,6884,https://www.truecar.com/used-cars-for-sale/listing/JTMDWRFV6KD509061/,2,3183
2017,Toyota RAV4,XLE AWD,25899,42469,White,Black,2T3RFREV8HW617930,23799,https://www.truecar.com/used-cars-for-sale/listing/2T3RFREV8HW617930/,4,-412
2018,Toyota RAV4,Limited AWD,29998,31627,Blue,Unknown,2T3DFREVXJW784578,244455,https://www.truecar.com/used-cars-for-sale/listing/2T3DFREVXJW784578/,3,1254
2019,Toyota RAV4,Hybrid LE AWD,30000,46305,Gray,Black,JTMMWRFV1KD019742,5721,https://www.truecar.com/used-cars-for-sale/listing/JTMMWRFV1KD019742/,2,634
2018,Toyota RAV4,Hybrid LE AWD,28991,31676,White,Black,JTMRJREV8JD226553,13230,https://www.truecar.com/used-cars-for-sale/listing/JTMRJREV8JD226553/,3,551
2019,Toyota RAV4,XLE AWD,26998,76116,Gray,Black,JTMP1RFV9KD512757,21161,https://www.truecar.com/used-cars-for-sale/listing/JTMP1RFV9KD512757/,2,-887
2017,Toyota RAV4,Hybrid XLE AWD,25991,79955,Silver,Black,JTMRJREV9HD121997,13230,https://www.truecar.com/used-cars-for-sale/listing/JTMRJREV9HD121997/,4,817
2020,Toyota RAV4,Hybrid XLE AWD,37988,7504,Silver,Black,2T3RWRFV1LW080891,10300,https://www.truecar.com/used-cars-for-sale/listing/2T3RWRFV1LW080891/,1,2614
2019,Toyota RAV4,Hybrid XSE AWD,39990,29809,White,Black,JTMEWRFV0KD506824,30678,https://www.truecar.com/used-cars-for-sale/listing/JTMEWRFV0KD506824/,2,1828
2018,Toyota RAV4,Hybrid LE AWD,27495,41319,Black,Black,JTMRJREV0JD180054,85829,https://www.truecar.com/used-cars-for-sale/listing/JTMRJREV0JD180054/,3,-330
2017,Toyota RAV4,SE AWD,27999,38370,Black,Black,2T3JFREV2HW646904,23658,https://www.truecar.com/used-cars-for-sale/listing/2T3JFREV2HW646904/,4,-248
2020,Toyota RAV4,XLE AWD,36990,5636,Silver,Gray,2T3P1RFV8LW100835,30678,https://www.truecar.com/used-cars-for-sale/listing/2T3P1RFV8LW100835/,1,2750
2017,Toyota RAV4,LE AWD,24990,50201,Silver,Black,2T3BFREV7HW628483,30678,https://www.truecar.com/used-cars-for-sale/listing/2T3BFREV7HW628483/,4,1672
2018,Toyota RAV4,XLE AWD,26991,36310,Silver,Unknown,JTMRFREV3JD236408,8184,https://www.truecar.com/used-cars-for-sale/listing/JTMRFREV3JD236408/,3,-1573
2019,Toyota RAV4,Adventure AWD,36350,37860,Black,Unknown,2T3J1RFV7KW010130,5797,https://www.truecar.com/used-cars-for-sale/listing/2T3J1RFV7KW010130/,2,1779
2020,Toyota RAV4,XLE AWD,34691,15731,Black,Black,2T3P1RFV2LC114635,5157,https://www.truecar.com/used-cars-for-sale/listing/2T3P1RFV2LC114635/,1,1095
2021,Toyota RAV4,XLE AWD,34991,3637,Gray,Black,2T3P1RFV8MC208262,25006,https://www.truecar.com/used-cars-for-sale/listing/2T3P1RFV8MC208262/,0,-1236
2020,Toyota RAV4,Hybrid XLE with Lithium Battery AWD,35981,11671,Gray,Black,4T3R6RFV3LU001219,23701,https://www.truecar.com/used-cars-for-sale/listing/4T3R6RFV3LU001219/,1,0
2018,Toyota RAV4,Hybrid XLE AWD,29491,36017,Red,Black,JTMRJREV8JD223961,14839,https://www.truecar.com/used-cars-for-sale/listing/JTMRJREV8JD223961/,3,-345
2018,Toyota RAV4,Hybrid LE Plus AWD,28810,37043,Silver,Black,JTMRJREV3JD164589,152684,https://www.truecar.com/used-cars-for-sale/listing/JTMRJREV3JD164589/,3,-0
