year,model,trim,price_usd,miles,exterior,interior,vin,dealer_id,link,age,residual
2018,Subaru Forester,2.5i Touring CVT,28995,19697,Brown,Black,JF2SJAWC0JH460910,22260,https://www.truecar.com/used-cars-for-sale/listing/JF2SJAWC0JH460910/,3,1404
2018,Subaru Forester,2.5i Premium CVT,20996,52653,White,Gray,JF2SJADC8JH518345,50600,https://www.truecar.com/used-cars-for-sale/listing/JF2SJADC8JH518345/,3,39
2020,Subaru Forester,2.5i Sport,29999,9372,Gray,Gray,JF2SKAMC9LH467177,29488,https://www.truecar.com/used-cars-for-sale/listing/JF2SKAMC9LH467177/,1,-422
2019,Subaru Forester,2.5i,22975,23019,Blue,Gray,JF2SKACC2KH501170,88289,https://www.truecar.com/used-cars-for-sale/listing/JF2SKACC2KH501170/,2,109
2018,Subaru Forester,2.5i Premium CVT,20300,54372,Gray,Gray,JF2SJAGC0JH576350,50600,https://www.truecar.com/used-cars-for-sale/listing/JF2SJAGC0JH576350/,3,-572
2019,Subaru Forester,2.5i Premium,26457,11343,Silver,Black,JF2SKAGC5KH565195,12504,https://www.truecar.com/used-cars-for-sale/listing/JF2SKAGC5KH565195/,2,229
2020,Subaru Forester,2.5i Sport,29488,15834,Black,Gray,JF2SKARC6LH459840,18920,https://www.truecar.com/used-cars-for-sale/listing/JF2SKARC6LH459840/,1,-614
2019,Subaru Forester,2.5i Sport,29450,20121,White,Gray,JF2SKAPC0KH573639,10299,https://www.truecar.com/used-cars-for-sale/listing/JF2SKAPC0KH573639/,2,962
2019,Subaru Forester,2.5i Premium,21500,68260,Black,Gray,JF2SKAGC2KH473266,9563,https://www.truecar.com/used-cars-for-sale/listing/JF2SKAGC2KH473266/,2,-1917
2021,Subaru Forester,2.5i Limited,33273,3043,White,Black,JF2SKASC8MH406228,6011,https://www.truecar.com/used-cars-for-sale/listing/JF2SKASC8MH406228/,0,480
2019,Subaru Forester,2.5i Sport,30853,32071,White,Gray,JF2SKAKC9KH485566,107807,https://www.truecar.com/used-cars-for-sale/listing/JF2SKAKC9KH485566/,2,2955
2019,Subaru Forester,2.5i,22299,30562,White,Gray,JF2SKACCXKH436911,23799,https://www.truecar.com/used-cars-for-sale/listing/JF2SKACCXKH436911/,2,-195
2018,Subaru Forester,2.5i Touring CVT,24500,25922,Blue,Black,JF2SJAWC7JH504031,22262,https://www.truecar.com/used-cars-for-sale/listing/JF2SJAWC7JH504031/,3,-2783
2018,Subaru Forester,2.5i Touring CVT,28488,16979,Brown,Brown,JF2SJAWC3JH543103,18920,https://www.truecar.com/used-cars-for-sale/listing/JF2SJAWC3JH543103/,3,763
2018,Subaru Forester,2.5i CVT,16500,119529,Silver,Gray,JF2SJAAC0JH522698,9563,https://www.truecar.com/used-cars-for-sale/listing/JF2SJAAC0JH522698/,3,1068
2019,Subaru Forester,2.5i Premium,27497,13596,Green,Gray,JF2SKAGC8KH429028,6011,https://www.truecar.com/used-cars-for-sale/listing/JF2SKAGC8KH429028/,2,1380
2018,Subaru Forester,2.5i Premium CVT,20810,55816,Red,Gray,JF2SJAGC9JH502165,220067,https://www.truecar.com/used-cars-for-sale/listing/JF2SJAGC9JH502165/,3,9
